cohort,concept,source_type,variable_or_line,label_or_snippet,source_file,evidence_status
SHARE,psu,cleaned_header,,,/mnt/e/Database/七大老年健康数据库数据/csv 版本 清洗后/share.csv,cleaned candidate only; requires codebook confirmation
SHARE,strata,cleaned_header,,,/mnt/e/Database/七大老年健康数据库数据/csv 版本 清洗后/share.csv,cleaned candidate only; requires codebook confirmation
CHARLS,weight,stata_label,r1bloodweight,Blood Weight with Household and Individual Response Adjustment,/mnt/e/Database/七大老年健康数据库数据/1. CHARLS  中国/CHARLS_中国/Temp_data/charls11.dta,metadata mention; manual mapping required
CHARLS,weight,stata_label,r3bloodweight,Blood Weight with Household and Individual Response Adjustment,/mnt/e/Database/七大老年健康数据库数据/1. CHARLS  中国/CHARLS_中国/Temp_data/charls15.dta,metadata mention; manual mapping required
CHARLS,weight,stata_label,r5wthh,Household Base Weight,/mnt/e/Database/七大老年健康数据库数据/1. CHARLS  中国/CHARLS_中国/Temp_data/charls20.dta,metadata mention; manual mapping required
CHARLS,weight,stata_label,r5wthha,Household Weight with Household Response Adjustment,/mnt/e/Database/七大老年健康数据库数据/1. CHARLS  中国/CHARLS_中国/Temp_data/charls20.dta,metadata mention; manual mapping required
CHARLS,weight,stata_label,r5wtresp,Individual Base Weight,/mnt/e/Database/七大老年健康数据库数据/1. CHARLS  中国/CHARLS_中国/Temp_data/charls20.dta,metadata mention; manual mapping required
CHARLS,weight,stata_label,r5wtrespb,Individual Weight with Household and Individual Response Adjustment,/mnt/e/Database/七大老年健康数据库数据/1. CHARLS  中国/CHARLS_中国/Temp_data/charls20.dta,metadata mention; manual mapping required
CHARLS,weight,stata_label,r1wthh,r1wthh:w1 Household weight without non-response adjustment,/mnt/e/Database/七大老年健康数据库数据/1. CHARLS  中国/CHARLS_中国/Raw_data/Harmonized_CHARLS_C/H_CHARLS_C_Data.dta,metadata mention; manual mapping required
CHARLS,weight,stata_label,r2wthh,r2wthh:w2 Household weight without non-response adjustment,/mnt/e/Database/七大老年健康数据库数据/1. CHARLS  中国/CHARLS_中国/Raw_data/Harmonized_CHARLS_C/H_CHARLS_C_Data.dta,metadata mention; manual mapping required
CHARLS,weight,stata_label,r4wthh,r4wthh:w4 Household weight without non-response adjustment,/mnt/e/Database/七大老年健康数据库数据/1. CHARLS  中国/CHARLS_中国/Raw_data/Harmonized_CHARLS_C/H_CHARLS_C_Data.dta,metadata mention; manual mapping required
CHARLS,weight,stata_label,r2wthhl,r2wthhl:w2 Household longitudinal weight,/mnt/e/Database/七大老年健康数据库数据/1. CHARLS  中国/CHARLS_中国/Raw_data/Harmonized_CHARLS_C/H_CHARLS_C_Data.dta,metadata mention; manual mapping required
CHARLS,weight,stata_label,r1wthha,r1wthha:w1 Household weight with non-response adjustment,/mnt/e/Database/七大老年健康数据库数据/1. CHARLS  中国/CHARLS_中国/Raw_data/Harmonized_CHARLS_C/H_CHARLS_C_Data.dta,metadata mention; manual mapping required
CHARLS,weight,stata_label,r2wthha,r2wthha:w2 Household weight with non-response adjustment,/mnt/e/Database/七大老年健康数据库数据/1. CHARLS  中国/CHARLS_中国/Raw_data/Harmonized_CHARLS_C/H_CHARLS_C_Data.dta,metadata mention; manual mapping required
CHARLS,weight,stata_label,r4wthha,r4wthha:w4 Household weight with non-response adjustment,/mnt/e/Database/七大老年健康数据库数据/1. CHARLS  中国/CHARLS_中国/Raw_data/Harmonized_CHARLS_C/H_CHARLS_C_Data.dta,metadata mention; manual mapping required
CHARLS,weight,stata_label,r1wtresp,r1wtresp:w1 Individual weight without non-response adjustment,/mnt/e/Database/七大老年健康数据库数据/1. CHARLS  中国/CHARLS_中国/Raw_data/Harmonized_CHARLS_C/H_CHARLS_C_Data.dta,metadata mention; manual mapping required
CHARLS,weight,stata_label,r2wtresp,r2wtresp:w2 Individual weight without non-response adjustment,/mnt/e/Database/七大老年健康数据库数据/1. CHARLS  中国/CHARLS_中国/Raw_data/Harmonized_CHARLS_C/H_CHARLS_C_Data.dta,metadata mention; manual mapping required
CHARLS,weight,stata_label,r4wtresp,r4wtresp:w4 Individual weight without non-response adjustment,/mnt/e/Database/七大老年健康数据库数据/1. CHARLS  中国/CHARLS_中国/Raw_data/Harmonized_CHARLS_C/H_CHARLS_C_Data.dta,metadata mention; manual mapping required
CHARLS,weight,stata_label,s1wtresp,s1wtresp:w1 s weight without non-response adjustment,/mnt/e/Database/七大老年健康数据库数据/1. CHARLS  中国/CHARLS_中国/Raw_data/Harmonized_CHARLS_C/H_CHARLS_C_Data.dta,metadata mention; manual mapping required
CHARLS,weight,stata_label,s2wtresp,s2wtresp:w2 s weight without non-response adjustment,/mnt/e/Database/七大老年健康数据库数据/1. CHARLS  中国/CHARLS_中国/Raw_data/Harmonized_CHARLS_C/H_CHARLS_C_Data.dta,metadata mention; manual mapping required
CHARLS,weight,stata_label,s4wtresp,s4wtresp:w4 s weight without non-response adjustment,/mnt/e/Database/七大老年健康数据库数据/1. CHARLS  中国/CHARLS_中国/Raw_data/Harmonized_CHARLS_C/H_CHARLS_C_Data.dta,metadata mention; manual mapping required
CHARLS,weight,stata_label,r2wtrespl,r2wtrespl:w2 Individual longitudinal weight,/mnt/e/Database/七大老年健康数据库数据/1. CHARLS  中国/CHARLS_中国/Raw_data/Harmonized_CHARLS_C/H_CHARLS_C_Data.dta,metadata mention; manual mapping required
CHARLS,weight,stata_label,s2wtrespl,s2wtrespl:w2 Individual longitudinal weight,/mnt/e/Database/七大老年健康数据库数据/1. CHARLS  中国/CHARLS_中国/Raw_data/Harmonized_CHARLS_C/H_CHARLS_C_Data.dta,metadata mention; manual mapping required
CHARLS,weight,stata_label,r1wtrespa,r1wtrespa:w1 Individual weight with HH non-response adjustment,/mnt/e/Database/七大老年健康数据库数据/1. CHARLS  中国/CHARLS_中国/Raw_data/Harmonized_CHARLS_C/H_CHARLS_C_Data.dta,metadata mention; manual mapping required
CHARLS,weight,stata_label,r2wtrespa,r2wtrespa:w2 Individual weight with HH non-response adjustment,/mnt/e/Database/七大老年健康数据库数据/1. CHARLS  中国/CHARLS_中国/Raw_data/Harmonized_CHARLS_C/H_CHARLS_C_Data.dta,metadata mention; manual mapping required
CHARLS,weight,stata_label,r4wtrespa,r4wtrespa:w4 Individual weight with HH non-response adjustment,/mnt/e/Database/七大老年健康数据库数据/1. CHARLS  中国/CHARLS_中国/Raw_data/Harmonized_CHARLS_C/H_CHARLS_C_Data.dta,metadata mention; manual mapping required
CHARLS,weight,stata_label,s1wtrespa,s1wtrespa:w1 s weight with HH non-response adjustment,/mnt/e/Database/七大老年健康数据库数据/1. CHARLS  中国/CHARLS_中国/Raw_data/Harmonized_CHARLS_C/H_CHARLS_C_Data.dta,metadata mention; manual mapping required
CHARLS,weight,stata_label,s2wtrespa,s2wtrespa:w2 s weight with HH non-response adjustment,/mnt/e/Database/七大老年健康数据库数据/1. CHARLS  中国/CHARLS_中国/Raw_data/Harmonized_CHARLS_C/H_CHARLS_C_Data.dta,metadata mention; manual mapping required
CHARLS,weight,stata_label,s4wtrespa,s4wtrespa:w4 s weight with HH non-response adjustment,/mnt/e/Database/七大老年健康数据库数据/1. CHARLS  中国/CHARLS_中国/Raw_data/Harmonized_CHARLS_C/H_CHARLS_C_Data.dta,metadata mention; manual mapping required
CHARLS,weight,stata_label,r1wtrespb,r1wtrespb:w1 Individual weight with HH/Ind non-response adjustment,/mnt/e/Database/七大老年健康数据库数据/1. CHARLS  中国/CHARLS_中国/Raw_data/Harmonized_CHARLS_C/H_CHARLS_C_Data.dta,metadata mention; manual mapping required
CHARLS,weight,stata_label,r2wtrespb,r2wtrespb:w2 Individual weight with HH/Ind non-response adjustment,/mnt/e/Database/七大老年健康数据库数据/1. CHARLS  中国/CHARLS_中国/Raw_data/Harmonized_CHARLS_C/H_CHARLS_C_Data.dta,metadata mention; manual mapping required
CHARLS,weight,stata_label,r4wtrespb,r4wtrespb:w4 Individual weight with HH/Ind non-response adjustment,/mnt/e/Database/七大老年健康数据库数据/1. CHARLS  中国/CHARLS_中国/Raw_data/Harmonized_CHARLS_C/H_CHARLS_C_Data.dta,metadata mention; manual mapping required
CHARLS,weight,stata_label,s1wtrespb,s1wtrespb:w1 s weight with HH/Ind non-response adjustment,/mnt/e/Database/七大老年健康数据库数据/1. CHARLS  中国/CHARLS_中国/Raw_data/Harmonized_CHARLS_C/H_CHARLS_C_Data.dta,metadata mention; manual mapping required
CHARLS,weight,stata_label,s2wtrespb,s2wtrespb:w2 s weight with HH/Ind non-response adjustment,/mnt/e/Database/七大老年健康数据库数据/1. CHARLS  中国/CHARLS_中国/Raw_data/Harmonized_CHARLS_C/H_CHARLS_C_Data.dta,metadata mention; manual mapping required
CHARLS,weight,stata_label,s4wtrespb,s4wtrespb:w4 s weight with HH/Ind non-response adjustment,/mnt/e/Database/七大老年健康数据库数据/1. CHARLS  中国/CHARLS_中国/Raw_data/Harmonized_CHARLS_C/H_CHARLS_C_Data.dta,metadata mention; manual mapping required
CHARLS,weight,stata_label,r1wtrespbioa,r1wtrespbioa:w1 Individual biomarker weight with HH non-response adjustment,/mnt/e/Database/七大老年健康数据库数据/1. CHARLS  中国/CHARLS_中国/Raw_data/Harmonized_CHARLS_C/H_CHARLS_C_Data.dta,metadata mention; manual mapping required
CHARLS,weight,stata_label,s1wtrespbioa,s1wtrespbioa:w1 Individual biomarker weight with HH non-response adjustment,/mnt/e/Database/七大老年健康数据库数据/1. CHARLS  中国/CHARLS_中国/Raw_data/Harmonized_CHARLS_C/H_CHARLS_C_Data.dta,metadata mention; manual mapping required
CHARLS,weight,stata_label,r1wtrespbiob,r1wtrespbiob:w1 Individual biomarker weight with HH/Ind non-response adjustment,/mnt/e/Database/七大老年健康数据库数据/1. CHARLS  中国/CHARLS_中国/Raw_data/Harmonized_CHARLS_C/H_CHARLS_C_Data.dta,metadata mention; manual mapping required
CHARLS,weight,stata_label,r2wtrespbiob,r2wtrespbiob:w2 Individual biomarker weight with HH/Ind non-response adjustment,/mnt/e/Database/七大老年健康数据库数据/1. CHARLS  中国/CHARLS_中国/Raw_data/Harmonized_CHARLS_C/H_CHARLS_C_Data.dta,metadata mention; manual mapping required
CHARLS,weight,stata_label,r4wtrespbiob,r4wtrespbiob:w4 Individual biomarker weight with HH/Ind non-response adjustment,/mnt/e/Database/七大老年健康数据库数据/1. CHARLS  中国/CHARLS_中国/Raw_data/Harmonized_CHARLS_C/H_CHARLS_C_Data.dta,metadata mention; manual mapping required
CHARLS,weight,stata_label,s1wtrespbiob,s1wtrespbiob:w1 Individual biomarker weight with HH/Ind non-response adjustment,/mnt/e/Database/七大老年健康数据库数据/1. CHARLS  中国/CHARLS_中国/Raw_data/Harmonized_CHARLS_C/H_CHARLS_C_Data.dta,metadata mention; manual mapping required
CHARLS,weight,stata_label,s2wtrespbiob,s2wtrespbiob:w2 Individual biomarker weight with HH/Ind non-response adjustment,/mnt/e/Database/七大老年健康数据库数据/1. CHARLS  中国/CHARLS_中国/Raw_data/Harmonized_CHARLS_C/H_CHARLS_C_Data.dta,metadata mention; manual mapping required
CHARLS,weight,stata_label,s4wtrespbiob,s4wtrespbiob:w4 Individual biomarker weight with HH/Ind non-response adjustment,/mnt/e/Database/七大老年健康数据库数据/1. CHARLS  中国/CHARLS_中国/Raw_data/Harmonized_CHARLS_C/H_CHARLS_C_Data.dta,metadata mention; manual mapping required
CHARLS,weight,stata_label,r1weight,r1weight:w1 r weight in kilograms,/mnt/e/Database/七大老年健康数据库数据/1. CHARLS  中国/CHARLS_中国/Raw_data/Harmonized_CHARLS_C/H_CHARLS_C_Data.dta,metadata mention; manual mapping required
CHARLS,weight,stata_label,r2weight,r2weight:w2 r weight in kilograms,/mnt/e/Database/七大老年健康数据库数据/1. CHARLS  中国/CHARLS_中国/Raw_data/Harmonized_CHARLS_C/H_CHARLS_C_Data.dta,metadata mention; manual mapping required
CHARLS,weight,stata_label,r4weight,r4weight:w4 r weight in kilograms,/mnt/e/Database/七大老年健康数据库数据/1. CHARLS  中国/CHARLS_中国/Raw_data/Harmonized_CHARLS_C/H_CHARLS_C_Data.dta,metadata mention; manual mapping required
CHARLS,weight,stata_label,s1weight,s1weight:w1 s weight in kilograms,/mnt/e/Database/七大老年健康数据库数据/1. CHARLS  中国/CHARLS_中国/Raw_data/Harmonized_CHARLS_C/H_CHARLS_C_Data.dta,metadata mention; manual mapping required
CHARLS,weight,stata_label,s2weight,s2weight:w2 s weight in kilograms,/mnt/e/Database/七大老年健康数据库数据/1. CHARLS  中国/CHARLS_中国/Raw_data/Harmonized_CHARLS_C/H_CHARLS_C_Data.dta,metadata mention; manual mapping required
CHARLS,weight,stata_label,s4weight,s4weight:w4 s weight in kilograms,/mnt/e/Database/七大老年健康数据库数据/1. CHARLS  中国/CHARLS_中国/Raw_data/Harmonized_CHARLS_C/H_CHARLS_C_Data.dta,metadata mention; manual mapping required
CHARLS,weight,stata_label,r1wthh,r1wthh:w1 household weight without non-response adjustment,/mnt/e/Database/七大老年健康数据库数据/1. CHARLS  中国/CHARLS_中国/Raw_data/Harmonized_CHARLS_D/H_CHARLS_D_Data.dta,metadata mention; manual mapping required
CHARLS,weight,stata_label,r2wthh,r2wthh:w2 household weight without non-response adjustment,/mnt/e/Database/七大老年健康数据库数据/1. CHARLS  中国/CHARLS_中国/Raw_data/Harmonized_CHARLS_D/H_CHARLS_D_Data.dta,metadata mention; manual mapping required
CHARLS,weight,stata_label,r3wthh,r3wthh:w3 household weight without non-response adjustment,/mnt/e/Database/七大老年健康数据库数据/1. CHARLS  中国/CHARLS_中国/Raw_data/Harmonized_CHARLS_D/H_CHARLS_D_Data.dta,metadata mention; manual mapping required
CHARLS,weight,stata_label,r4wthh,r4wthh:w4 household weight without non-response adjustment,/mnt/e/Database/七大老年健康数据库数据/1. CHARLS  中国/CHARLS_中国/Raw_data/Harmonized_CHARLS_D/H_CHARLS_D_Data.dta,metadata mention; manual mapping required
CHARLS,weight,stata_label,r2wthhl,r2wthhl:w2 household longitudinal weight,/mnt/e/Database/七大老年健康数据库数据/1. CHARLS  中国/CHARLS_中国/Raw_data/Harmonized_CHARLS_D/H_CHARLS_D_Data.dta,metadata mention; manual mapping required
CHARLS,weight,stata_label,r1wthha,r1wthha:w1 household weight with non-response adjustment,/mnt/e/Database/七大老年健康数据库数据/1. CHARLS  中国/CHARLS_中国/Raw_data/Harmonized_CHARLS_D/H_CHARLS_D_Data.dta,metadata mention; manual mapping required
CHARLS,weight,stata_label,r2wthha,r2wthha:w2 household weight with non-response adjustment,/mnt/e/Database/七大老年健康数据库数据/1. CHARLS  中国/CHARLS_中国/Raw_data/Harmonized_CHARLS_D/H_CHARLS_D_Data.dta,metadata mention; manual mapping required
CHARLS,weight,stata_label,r3wthha,r3wthha:w3 household weight with non-response adjustment,/mnt/e/Database/七大老年健康数据库数据/1. CHARLS  中国/CHARLS_中国/Raw_data/Harmonized_CHARLS_D/H_CHARLS_D_Data.dta,metadata mention; manual mapping required
CHARLS,weight,stata_label,r4wthha,r4wthha:w4 household weight with non-response adjustment,/mnt/e/Database/七大老年健康数据库数据/1. CHARLS  中国/CHARLS_中国/Raw_data/Harmonized_CHARLS_D/H_CHARLS_D_Data.dta,metadata mention; manual mapping required
CHARLS,weight,stata_label,r1wtresp,r1wtresp:w1 individual weight without non-response adjustment,/mnt/e/Database/七大老年健康数据库数据/1. CHARLS  中国/CHARLS_中国/Raw_data/Harmonized_CHARLS_D/H_CHARLS_D_Data.dta,metadata mention; manual mapping required
CHARLS,weight,stata_label,r2wtresp,r2wtresp:w2 individual weight without non-response adjustment,/mnt/e/Database/七大老年健康数据库数据/1. CHARLS  中国/CHARLS_中国/Raw_data/Harmonized_CHARLS_D/H_CHARLS_D_Data.dta,metadata mention; manual mapping required
CHARLS,weight,stata_label,r3wtresp,r3wtresp:w3 individual weight without non-response adjustment,/mnt/e/Database/七大老年健康数据库数据/1. CHARLS  中国/CHARLS_中国/Raw_data/Harmonized_CHARLS_D/H_CHARLS_D_Data.dta,metadata mention; manual mapping required
CHARLS,weight,stata_label,r4wtresp,r4wtresp:w4 individual weight without non-response adjustment,/mnt/e/Database/七大老年健康数据库数据/1. CHARLS  中国/CHARLS_中国/Raw_data/Harmonized_CHARLS_D/H_CHARLS_D_Data.dta,metadata mention; manual mapping required
CHARLS,weight,stata_label,s1wtresp,s1wtresp:w1 s weight without non-response adjustment,/mnt/e/Database/七大老年健康数据库数据/1. CHARLS  中国/CHARLS_中国/Raw_data/Harmonized_CHARLS_D/H_CHARLS_D_Data.dta,metadata mention; manual mapping required
CHARLS,weight,stata_label,s2wtresp,s2wtresp:w2 s weight without non-response adjustment,/mnt/e/Database/七大老年健康数据库数据/1. CHARLS  中国/CHARLS_中国/Raw_data/Harmonized_CHARLS_D/H_CHARLS_D_Data.dta,metadata mention; manual mapping required
CHARLS,weight,stata_label,s3wtresp,s3wtresp:w3 s weight without non-response adjustment,/mnt/e/Database/七大老年健康数据库数据/1. CHARLS  中国/CHARLS_中国/Raw_data/Harmonized_CHARLS_D/H_CHARLS_D_Data.dta,metadata mention; manual mapping required
CHARLS,weight,stata_label,s4wtresp,s4wtresp:w4 s weight without non-response adjustment,/mnt/e/Database/七大老年健康数据库数据/1. CHARLS  中国/CHARLS_中国/Raw_data/Harmonized_CHARLS_D/H_CHARLS_D_Data.dta,metadata mention; manual mapping required
CHARLS,weight,stata_label,r2wtrespl,r2wtrespl:w2 individual longitudinal weight,/mnt/e/Database/七大老年健康数据库数据/1. CHARLS  中国/CHARLS_中国/Raw_data/Harmonized_CHARLS_D/H_CHARLS_D_Data.dta,metadata mention; manual mapping required
CHARLS,weight,stata_label,s2wtrespl,s2wtrespl:w2 individual longitudinal weight,/mnt/e/Database/七大老年健康数据库数据/1. CHARLS  中国/CHARLS_中国/Raw_data/Harmonized_CHARLS_D/H_CHARLS_D_Data.dta,metadata mention; manual mapping required
CHARLS,weight,stata_label,r1wtrespa,r1wtrespa:w1 individual weight with HH non-response adjustment,/mnt/e/Database/七大老年健康数据库数据/1. CHARLS  中国/CHARLS_中国/Raw_data/Harmonized_CHARLS_D/H_CHARLS_D_Data.dta,metadata mention; manual mapping required
CHARLS,weight,stata_label,r2wtrespa,r2wtrespa:w2 individual weight with HH non-response adjustment,/mnt/e/Database/七大老年健康数据库数据/1. CHARLS  中国/CHARLS_中国/Raw_data/Harmonized_CHARLS_D/H_CHARLS_D_Data.dta,metadata mention; manual mapping required
CHARLS,weight,stata_label,r3wtrespa,r3wtrespa:w3 individual weight with HH non-response adjustment,/mnt/e/Database/七大老年健康数据库数据/1. CHARLS  中国/CHARLS_中国/Raw_data/Harmonized_CHARLS_D/H_CHARLS_D_Data.dta,metadata mention; manual mapping required
CHARLS,weight,stata_label,s1wtrespa,s1wtrespa:w1 s weight with HH non-response adjustment,/mnt/e/Database/七大老年健康数据库数据/1. CHARLS  中国/CHARLS_中国/Raw_data/Harmonized_CHARLS_D/H_CHARLS_D_Data.dta,metadata mention; manual mapping required
CHARLS,weight,stata_label,s2wtrespa,s2wtrespa:w2 s weight with HH non-response adjustment,/mnt/e/Database/七大老年健康数据库数据/1. CHARLS  中国/CHARLS_中国/Raw_data/Harmonized_CHARLS_D/H_CHARLS_D_Data.dta,metadata mention; manual mapping required
CHARLS,weight,stata_label,s3wtrespa,s3wtrespa:w3 s weight with HH non-response adjustment,/mnt/e/Database/七大老年健康数据库数据/1. CHARLS  中国/CHARLS_中国/Raw_data/Harmonized_CHARLS_D/H_CHARLS_D_Data.dta,metadata mention; manual mapping required
CHARLS,weight,stata_label,r1wtrespb,r1wtrespb:w1 individual weight with HH/ind non-response adjustment,/mnt/e/Database/七大老年健康数据库数据/1. CHARLS  中国/CHARLS_中国/Raw_data/Harmonized_CHARLS_D/H_CHARLS_D_Data.dta,metadata mention; manual mapping required
CHARLS,weight,stata_label,r2wtrespb,r2wtrespb:w2 individual weight with HH/ind non-response adjustment,/mnt/e/Database/七大老年健康数据库数据/1. CHARLS  中国/CHARLS_中国/Raw_data/Harmonized_CHARLS_D/H_CHARLS_D_Data.dta,metadata mention; manual mapping required
CHARLS,weight,stata_label,r3wtrespb,r3wtrespb:w3 individual weight with HH/Ind non-response adjustment,/mnt/e/Database/七大老年健康数据库数据/1. CHARLS  中国/CHARLS_中国/Raw_data/Harmonized_CHARLS_D/H_CHARLS_D_Data.dta,metadata mention; manual mapping required
CHARLS,weight,stata_label,r4wtrespb,r4wtrespb:w4 individual weight with HH/ind non-response adjustment,/mnt/e/Database/七大老年健康数据库数据/1. CHARLS  中国/CHARLS_中国/Raw_data/Harmonized_CHARLS_D/H_CHARLS_D_Data.dta,metadata mention; manual mapping required
CHARLS,weight,stata_label,s1wtrespb,s1wtrespb:w1 s weight with HH/ind non-response adjustment,/mnt/e/Database/七大老年健康数据库数据/1. CHARLS  中国/CHARLS_中国/Raw_data/Harmonized_CHARLS_D/H_CHARLS_D_Data.dta,metadata mention; manual mapping required
CHARLS,weight,stata_label,s2wtrespb,s2wtrespb:w2 s weight with HH/ind non-response adjustment,/mnt/e/Database/七大老年健康数据库数据/1. CHARLS  中国/CHARLS_中国/Raw_data/Harmonized_CHARLS_D/H_CHARLS_D_Data.dta,metadata mention; manual mapping required
CHARLS,weight,stata_label,s3wtrespb,s3wtrespb:w3 s weight with HH/ind non-response adjustment,/mnt/e/Database/七大老年健康数据库数据/1. CHARLS  中国/CHARLS_中国/Raw_data/Harmonized_CHARLS_D/H_CHARLS_D_Data.dta,metadata mention; manual mapping required
CHARLS,weight,stata_label,s4wtrespb,s4wtrespb:w4 s weight with HH/ind non-response adjustment,/mnt/e/Database/七大老年健康数据库数据/1. CHARLS  中国/CHARLS_中国/Raw_data/Harmonized_CHARLS_D/H_CHARLS_D_Data.dta,metadata mention; manual mapping required
CHARLS,weight,stata_label,r1wtrespbioa,r1wtrespbioa:w1 individual biomarker weight with HH non-response adjustment,/mnt/e/Database/七大老年健康数据库数据/1. CHARLS  中国/CHARLS_中国/Raw_data/Harmonized_CHARLS_D/H_CHARLS_D_Data.dta,metadata mention; manual mapping required
CHARLS,weight,stata_label,s1wtrespbioa,s1wtrespbioa:w1 individual biomarker weight with HH non-response adjustment,/mnt/e/Database/七大老年健康数据库数据/1. CHARLS  中国/CHARLS_中国/Raw_data/Harmonized_CHARLS_D/H_CHARLS_D_Data.dta,metadata mention; manual mapping required
CHARLS,weight,stata_label,r1wtrespbiob,r1wtrespbiob:w1 individual biomarker weight with HH/ind non-response adjustment,/mnt/e/Database/七大老年健康数据库数据/1. CHARLS  中国/CHARLS_中国/Raw_data/Harmonized_CHARLS_D/H_CHARLS_D_Data.dta,metadata mention; manual mapping required
CHARLS,weight,stata_label,r2wtrespbiob,r2wtrespbiob:w2 individual biomarker weight with HH/ind non-response adjustment,/mnt/e/Database/七大老年健康数据库数据/1. CHARLS  中国/CHARLS_中国/Raw_data/Harmonized_CHARLS_D/H_CHARLS_D_Data.dta,metadata mention; manual mapping required
CHARLS,weight,stata_label,r3wtrespbiob,r3wtrespbiob:w3 individual biomarker weight with HH/Ind non-response adjustment,/mnt/e/Database/七大老年健康数据库数据/1. CHARLS  中国/CHARLS_中国/Raw_data/Harmonized_CHARLS_D/H_CHARLS_D_Data.dta,metadata mention; manual mapping required
CHARLS,weight,stata_label,s1wtrespbiob,s1wtrespbiob:w1 individual biomarker weight with HH/ind non-response adjustment,/mnt/e/Database/七大老年健康数据库数据/1. CHARLS  中国/CHARLS_中国/Raw_data/Harmonized_CHARLS_D/H_CHARLS_D_Data.dta,metadata mention; manual mapping required
CHARLS,weight,stata_label,s2wtrespbiob,s2wtrespbiob:w2 individual biomarker weight with HH/ind non-response adjustment,/mnt/e/Database/七大老年健康数据库数据/1. CHARLS  中国/CHARLS_中国/Raw_data/Harmonized_CHARLS_D/H_CHARLS_D_Data.dta,metadata mention; manual mapping required
CHARLS,weight,stata_label,s3wtrespbiob,s3wtrespbiob:w3 individual biomarker weight with HH/ind non-response adjustment,/mnt/e/Database/七大老年健康数据库数据/1. CHARLS  中国/CHARLS_中国/Raw_data/Harmonized_CHARLS_D/H_CHARLS_D_Data.dta,metadata mention; manual mapping required
CHARLS,weight,stata_label,r1mweight,r1mweight:w1 r measured weight in kilograms,/mnt/e/Database/七大老年健康数据库数据/1. CHARLS  中国/CHARLS_中国/Raw_data/Harmonized_CHARLS_D/H_CHARLS_D_Data.dta,metadata mention; manual mapping required
CHARLS,weight,stata_label,r2mweight,r2mweight:w2 r measured weight in kilograms,/mnt/e/Database/七大老年健康数据库数据/1. CHARLS  中国/CHARLS_中国/Raw_data/Harmonized_CHARLS_D/H_CHARLS_D_Data.dta,metadata mention; manual mapping required
