source_path,source_layer,wave_hint,file_type,variable,variable_label,candidate_category,qualifies_for_strict_functional,nonmissing,sample_values,has_mergeid,strict_wave1_evidence
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Temp_data/share_wave1.dta,temp_data,1,dta,adl_f,Limitations with activities of daily living - Flag,strict_adl_iadl,1,30416,3,1,1
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Temp_data/share_wave1.dta,temp_data,1,dta,iadl,Limitations with instrumental activities of daily living,strict_adl_iadl,1,30416,0|3|6|5|1|2,1,1
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Temp_data/share_wave1.dta,temp_data,1,dta,iadl2,1+ iadl limitations,strict_adl_iadl,1,30270,0.0|1.0,1,1
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Temp_data/share_wave1.dta,temp_data,1,dta,iadl_f,Limitations with instrumental activities of daily living - Flag,strict_adl_iadl,1,30416,3,1,1
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Temp_data/share_wave1_CN.dta,temp_data,1,dta,adl,日常生活活动限制,strict_adl_iadl,1,30416,0|3|1|2,1,1
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Temp_data/share_wave1_CN.dta,temp_data,1,dta,iadl,工具性日常生活活动限制,strict_adl_iadl,1,30416,0|3|6|5|1|2,1,1
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Temp_data/share_wave1_CN.dta,temp_data,1,dta,iadl2,1+ iadl 限制,strict_adl_iadl,1,30270,0.0|1.0,1,1
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Dofiles/no.9_数据合并.do:118,dofile,,do,,*****ADL/房间里行走是否困难,strict_adl_iadl,1,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Dofiles/no.9_数据合并.do:122,dofile,,do,,*****ADL/穿衣是否困难,strict_adl_iadl,1,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Dofiles/no.9_数据合并.do:1220,dofile,,do,,"label var batha ""ADL/洗澡是否困难""",strict_adl_iadl,1,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Dofiles/no.9_数据合并.do:1221,dofile,,do,,"label var beda ""ADL/上下床是否困难""",strict_adl_iadl,1,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Dofiles/no.9_数据合并.do:1243,dofile,,do,,"label var dressa ""ADL/穿衣是否困难""",strict_adl_iadl,1,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Dofiles/no.9_数据合并.do:1252,dofile,,do,,"label var eata ""ADL/吃饭是否困难""",strict_adl_iadl,1,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Dofiles/no.9_数据合并.do:126,dofile,,do,,*****ADL/洗澡是否困难,strict_adl_iadl,1,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Dofiles/no.9_数据合并.do:1267,dofile,,do,,"label var housewka ""IADL/房屋和花园周围工作是否困难""",strict_adl_iadl,1,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Dofiles/no.9_数据合并.do:1280,dofile,,do,,"label var laundrya ""IADL/洗衣服是否困难""",strict_adl_iadl,1,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Dofiles/no.9_数据合并.do:1282,dofile,,do,,"label var leavhsa ""IADL/独自离开房屋和使用交通工具是否困难""",strict_adl_iadl,1,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Dofiles/no.9_数据合并.do:1289,dofile,,do,,"label var mapa ""IADL/使用地图是否困难""",strict_adl_iadl,1,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Dofiles/no.9_数据合并.do:1291,dofile,,do,,"label var mealsa ""IADL/准备饭菜是否困难""",strict_adl_iadl,1,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Dofiles/no.9_数据合并.do:1292,dofile,,do,,"label var medsa ""IADL/服用药物是否困难""",strict_adl_iadl,1,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Dofiles/no.9_数据合并.do:1296,dofile,,do,,"label var moneya ""IADL/理财是否困难""",strict_adl_iadl,1,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Dofiles/no.9_数据合并.do:130,dofile,,do,,*****ADL/吃饭是否困难,strict_adl_iadl,1,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Dofiles/no.9_数据合并.do:1312,dofile,,do,,"label var phonea ""IADL/使用电话是否困难""",strict_adl_iadl,1,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Dofiles/no.9_数据合并.do:134,dofile,,do,,*****ADL/上下床是否困难,strict_adl_iadl,1,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Dofiles/no.9_数据合并.do:138,dofile,,do,,*****ADL/上厕所是否困难,strict_adl_iadl,1,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Dofiles/no.9_数据合并.do:1382,dofile,,do,,"label var shopa ""IADL/购买杂货是否困难""",strict_adl_iadl,1,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Dofiles/no.9_数据合并.do:1393,dofile,,do,,"label var toilta ""ADL/上厕所是否困难""",strict_adl_iadl,1,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Dofiles/no.9_数据合并.do:1402,dofile,,do,,"label var walkra ""ADL/房间里行走是否困难""",strict_adl_iadl,1,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Dofiles/no.9_数据合并.do:142,dofile,,do,,*****IADL/使用电话是否困难,strict_adl_iadl,1,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Dofiles/no.9_数据合并.do:146,dofile,,do,,*****IADL/服用药物是否困难,strict_adl_iadl,1,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Dofiles/no.9_数据合并.do:150,dofile,,do,,*****IADL/理财是否困难,strict_adl_iadl,1,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Dofiles/no.9_数据合并.do:154,dofile,,do,,*****IADL/购买杂货是否困难,strict_adl_iadl,1,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Dofiles/no.9_数据合并.do:158,dofile,,do,,*****IADL/准备饭菜是否困难,strict_adl_iadl,1,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Dofiles/no.9_数据合并.do:162,dofile,,do,,*****IADL/使用地图是否困难,strict_adl_iadl,1,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Dofiles/no.9_数据合并.do:166,dofile,,do,,*****IADL/房屋和花园周围工作是否困难,strict_adl_iadl,1,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Dofiles/no.9_数据合并.do:170,dofile,,do,,*****IADL/独自离开房屋和使用交通工具是否困难,strict_adl_iadl,1,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Dofiles/no.9_数据合并.do:174,dofile,,do,,*****IADL/洗衣服是否困难,strict_adl_iadl,1,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:10825,dofile,,do,,***ADL Summary 0-6*** /NEW/,strict_adl_iadl,1,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:10826,dofile,,do,,*Wave 1 respondent ADL number of missings,strict_adl_iadl,1,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:10828,dofile,,do,,"label variable r`wv'adltotm_s ""r`wv'adltotm_s:w1 Missings in ADL summary""",strict_adl_iadl,1,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:10830,dofile,,do,,*wave 1 spouse ADL number of missings,strict_adl_iadl,1,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:10833,dofile,,do,,"label variable s`wv'adltotm_s ""s`wv'adltotm_s:w1 Missings in ADL summary""",strict_adl_iadl,1,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:10835,dofile,,do,,local adl,strict_adl_iadl,1,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:10838,dofile,,do,,local adl `adl' `v'_m,strict_adl_iadl,1,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:10841,dofile,,do,,*Wave 1 respondent ADL Summary 0-6,strict_adl_iadl,1,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:10847,dofile,,do,,*wave 1 spouse ADL Summary 0-6,strict_adl_iadl,1,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:10852,dofile,,do,,*ADL total binary indicator,strict_adl_iadl,1,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:10867,dofile,,do,,drop `adl',strict_adl_iadl,1,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:10869,dofile,,do,,***ADL Wallace Summary 0-3***,strict_adl_iadl,1,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:10870,dofile,,do,,*Wave 1 respondent ADL Wallace number of missings,strict_adl_iadl,1,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:10872,dofile,,do,,"label variable r`wv'adlwam ""r`wv'adlwam:w1 R Missings in 3 ADL Wallace summary""",strict_adl_iadl,1,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:10874,dofile,,do,,*wave 1 spouse ADL Wallace number of missings,strict_adl_iadl,1,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:10877,dofile,,do,,"label variable s`wv'adlwam ""s`wv'adlwam:w1 S Missings in 3 ADL Wallace summary""",strict_adl_iadl,1,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:10885,dofile,,do,,*Wave 1 respondent ADL Wallace Summary 0-3,strict_adl_iadl,1,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:10891,dofile,,do,,*wave 1 spouse ADL Wallace Summary 0-3,strict_adl_iadl,1,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:10899,dofile,,do,,*ADL total binary indicator / 0-3,strict_adl_iadl,1,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:10913,dofile,,do,,"***ADL Wallace 5-item - bathing, dressing, eating, getting in and out of bed, and walk across room",strict_adl_iadl,1,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:10914,dofile,,do,,*ADL total number of missings,strict_adl_iadl,1,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:10916,dofile,,do,,"label variable r`wv'adlam ""r`wv'adlam:w`wv' R Missings in 5 ADL Wallace Summary""",strict_adl_iadl,1,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:10921,dofile,,do,,"label variable s`wv'adlam ""s`wv'adlam:w`wv' S Missings in 5 ADL Wallace Summary""",strict_adl_iadl,1,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:10923,dofile,,do,,*ADL 5-item score,strict_adl_iadl,1,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:10933,dofile,,do,,*ADL total binary indicator,strict_adl_iadl,1,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:10947,dofile,,do,,"***ADL 5-item - bathing, dressing, eating, getting in and out of bed, and using the toilet.",strict_adl_iadl,1,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:10948,dofile,,do,,*ADL total number of missings,strict_adl_iadl,1,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:10950,dofile,,do,,"label variable r`wv'adlfivem ""r`wv'adlfivem:w`wv' R Missings in 5-item ADL Summary""",strict_adl_iadl,1,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:10955,dofile,,do,,"label variable s`wv'adlfivem ""s`wv'adlfivem:w`wv' S Missings in 5-item ADL Summary""",strict_adl_iadl,1,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:10957,dofile,,do,,*ADL 5-item score,strict_adl_iadl,1,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:10960,dofile,,do,,"label var r`wv'adlfive	""r`wv'adlfive:w`wv' R 5-item ADL Summary/0-5""",strict_adl_iadl,1,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:10965,dofile,,do,,"label var s`wv'adlfive	""s`wv'adlfive:w`wv' S 5-item ADL Summary/0-5""",strict_adl_iadl,1,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:10967,dofile,,do,,*ADL total binary indicator,strict_adl_iadl,1,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:10981,dofile,,do,,***IADL Summary 0-3***,strict_adl_iadl,1,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:10982,dofile,,do,,*Wave 1 respondent IADL number of missings,strict_adl_iadl,1,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:10984,dofile,,do,,"label variable r`wv'iadlam ""r`wv'iadlam:w1 R Missings in IADL 0-3 summary""",strict_adl_iadl,1,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:10986,dofile,,do,,*wave 1 spouse IADL number of missings,strict_adl_iadl,1,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:10989,dofile,,do,,"label variable s`wv'iadlam ""s`wv'iadlam:w1 S Missings in IADL 0-3 summary""",strict_adl_iadl,1,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:10991,dofile,,do,,local iadl,strict_adl_iadl,1,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:10994,dofile,,do,,local iadl `iadl' `v'_m,strict_adl_iadl,1,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:11008,dofile,,do,,*create a binary indicator if any IADL diff,strict_adl_iadl,1,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:11022,dofile,,do,,***IADL 4-item Summary***,strict_adl_iadl,1,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:11023,dofile,,do,,*respondent IADL number of missings,strict_adl_iadl,1,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:11025,dofile,,do,,"label variable r`wv'iadlfourm ""r`wv'iadlfourm:w`wv' R Missings in IADL 0-4 Summary""",strict_adl_iadl,1,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:11027,dofile,,do,,*spouse IADL number of missings,strict_adl_iadl,1,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:11030,dofile,,do,,"label variable s`wv'iadlfourm ""s`wv'iadlfourm:w`wv' S Missings in IADL 0-4 Summary""",strict_adl_iadl,1,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:11040,dofile,,do,,*create a binary indicator if any IADL diff,strict_adl_iadl,1,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:11055,dofile,,do,,drop `iadl',strict_adl_iadl,1,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:11057,dofile,,do,,***IADL Summary 0-5***,strict_adl_iadl,1,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:11058,dofile,,do,,*Wave 1 respondent IADL number of missings,strict_adl_iadl,1,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:11060,dofile,,do,,"label variable r`wv'iadlzam ""r`wv'iadlzam:w1 R Missings in IADL 0-5 Summary""",strict_adl_iadl,1,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:11062,dofile,,do,,*wave 1 spouse IADL number of missings,strict_adl_iadl,1,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:11065,dofile,,do,,"label variable s`wv'iadlzam ""s`wv'iadlzam:w1 S Missings in IADL 0-5 Summary""",strict_adl_iadl,1,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:11087,dofile,,do,,*create a binary indicator if any IADL diff,strict_adl_iadl,1,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:11101,dofile,,do,,***IADL Summary 1 ALL 0-7*** COMPLETE!!,strict_adl_iadl,1,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:11102,dofile,,do,,*respondent IADL number of missings,strict_adl_iadl,1,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:11104,dofile,,do,,"label variable r`wv'iadltot1m_s ""r`wv'iadltot1m_s:w`wv' R Missings in 7 item total IADL Summary""",strict_adl_iadl,1,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:11106,dofile,,do,,*spouse IADL number of missings,strict_adl_iadl,1,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:11109,dofile,,do,,"label variable s`wv'iadltot1m_s ""s`wv'iadltot1m_s:w`wv' S Missings in 7 item total IADL Summary""",strict_adl_iadl,1,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:11119,dofile,,do,,*create a binary indicator if any IADL diff,strict_adl_iadl,1,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:12934,dofile,,do,,***ADL Summary 0-6*** /NEW/,strict_adl_iadl,1,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:12935,dofile,,do,,*Wave 2 respondent ADL number of missings,strict_adl_iadl,1,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:12937,dofile,,do,,"label variable r`wv'adltotm_s ""r`wv'adltotm_s:w2 Missings in ADL summary""",strict_adl_iadl,1,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:12939,dofile,,do,,*wave 2 spouse ADL number of missings,strict_adl_iadl,1,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:12942,dofile,,do,,"label variable s`wv'adltotm_s ""s`wv'adltotm_s:w2 Missings in ADL summary""",strict_adl_iadl,1,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:12944,dofile,,do,,local adl,strict_adl_iadl,1,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:12947,dofile,,do,,local adl `adl' `v'_m,strict_adl_iadl,1,,,,0
